epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,193.186,1.14223,0.49127,0.77072,0.44881,0.51958,0.34932,0.17793,1.88662,2.05555,0.75953,0.000427565,0.000427565,0.000427565
57,385.93,1.14393,0.49315,0.77015,0.44916,0.51786,0.34901,0.17748,1.88595,2.05908,0.75951,0.000412246,0.000412246,0.000412246
58,578.82,1.14124,0.49297,0.77047,0.44983,0.51708,0.34851,0.17706,1.88602,2.0631,0.75953,0.000397019,0.000397019,0.000397019
59,771.466,1.13735,0.48963,0.76961,0.44898,0.51724,0.34734,0.17679,1.88585,2.06802,0.75956,0.000381899,0.000381899,0.000381899
60,963.702,1.13353,0.48891,0.76972,0.44421,0.51889,0.34453,0.17586,1.88607,2.07761,0.75959,0.000366899,0.000366899,0.000366899
61,1156.51,1.12987,0.48803,0.76951,0.44336,0.51844,0.34366,0.17541,1.88624,2.0825,0.75963,0.000352037,0.000352037,0.000352037
62,1349.46,1.12549,0.48198,0.76873,0.44339,0.51562,0.34262,0.17499,1.88639,2.09244,0.75961,0.000337325,0.000337325,0.000337325
63,1542.35,1.11987,0.48205,0.76925,0.44114,0.51603,0.34125,0.17429,1.8865,2.09994,0.7596,0.000322778,0.000322778,0.000322778
64,1735.67,1.11907,0.48045,0.76754,0.44039,0.51474,0.33988,0.17353,1.88638,2.10746,0.75954,0.000308412,0.000308412,0.000308412
65,1928.05,1.11591,0.47804,0.76775,0.43952,0.51362,0.33846,0.17271,1.88646,2.11661,0.75956,0.000294239,0.000294239,0.000294239
66,2120.96,1.11298,0.47628,0.7678,0.4402,0.51195,0.33773,0.17265,1.88636,2.12081,0.75954,0.000280275,0.000280275,0.000280275
67,2313.69,1.11063,0.47515,0.76777,0.44026,0.51081,0.3354,0.17159,1.88629,2.12892,0.75952,0.000266532,0.000266532,0.000266532
68,2506.11,1.10457,0.47496,0.76853,0.43969,0.50932,0.33313,0.17059,1.88646,2.13852,0.75949,0.000253024,0.000253024,0.000253024
69,2698.59,1.0992,0.47071,0.76741,0.43923,0.51069,0.33323,0.17065,1.88635,2.14057,0.75949,0.000239766,0.000239766,0.000239766
70,2890.72,1.09815,0.47058,0.76777,0.43893,0.51046,0.33268,0.1705,1.88563,2.14525,0.75944,0.000226769,0.000226769,0.000226769
71,3082.75,1.09084,0.46751,0.76814,0.43771,0.51201,0.33283,0.17088,1.88585,2.15012,0.7594,0.000214046,0.000214046,0.000214046
72,3275.5,1.08975,0.4665,0.76713,0.43877,0.51016,0.33255,0.17058,1.88605,2.15558,0.75937,0.000201611,0.000201611,0.000201611
73,194.108,1.09069,0.46585,0.76744,0.43801,0.50976,0.33152,0.1701,1.88652,2.16389,0.75932,0.000189475,0.000189475,0.000189475
74,384.532,1.09138,0.46665,0.76693,0.43758,0.50883,0.33045,0.16905,1.88711,2.17407,0.75933,0.000177651,0.000177651,0.000177651
75,573.975,1.09257,0.46651,0.76727,0.4376,0.50823,0.32912,0.16865,1.88692,2.1827,0.75929,0.000166149,0.000166149,0.000166149
76,764.056,1.09035,0.46475,0.76667,0.43702,0.50687,0.327,0.16753,1.88745,2.19481,0.75926,0.000154982,0.000154982,0.000154982
77,953.765,1.08919,0.4656,0.7669,0.43683,0.50616,0.32675,0.16734,1.88781,2.20297,0.75922,0.000144161,0.000144161,0.000144161
78,1144.21,1.08655,0.46496,0.76657,0.43661,0.50544,0.32603,0.1673,1.88789,2.20967,0.75923,0.000133695,0.000133695,0.000133695
79,1334.57,1.08362,0.4613,0.76611,0.43437,0.50405,0.32374,0.16601,1.88869,2.22593,0.75923,0.000123596,0.000123596,0.000123596
80,1524.53,1.08005,0.46215,0.76674,0.4333,0.50377,0.32195,0.1655,1.88886,2.23472,0.75922,0.000113873,0.000113873,0.000113873
81,1714.89,1.08194,0.46098,0.76521,0.43173,0.50324,0.31994,0.16487,1.88918,2.24114,0.75917,0.000104537,0.000104537,0.000104537
82,1904.86,1.08045,0.45983,0.76555,0.43022,0.50166,0.31835,0.16373,1.88989,2.25299,0.75916,9.55951e-05,9.55951e-05,9.55951e-05
83,2095.5,1.07891,0.45945,0.76565,0.42966,0.50136,0.31789,0.16305,1.88989,2.25918,0.75914,8.70577e-05,8.70577e-05,8.70577e-05
84,2285.87,1.07848,0.45868,0.76581,0.42853,0.50027,0.31684,0.16242,1.89026,2.26787,0.75912,7.89327e-05,7.89327e-05,7.89327e-05
85,2475.44,1.0744,0.45949,0.76686,0.42672,0.50066,0.3155,0.16195,1.89074,2.27809,0.75909,7.12282e-05,7.12282e-05,7.12282e-05
86,2666.21,1.07062,0.45641,0.7658,0.42567,0.5011,0.315,0.16165,1.89044,2.28399,0.7591,6.39518e-05,6.39518e-05,6.39518e-05
87,2856.1,1.07282,0.45737,0.76626,0.42481,0.50117,0.31374,0.16132,1.89017,2.28909,0.75907,5.71106e-05,5.71106e-05,5.71106e-05
88,3046.74,1.06672,0.45525,0.76683,0.42408,0.50168,0.3136,0.16131,1.89031,2.29346,0.75906,5.07115e-05,5.07115e-05,5.07115e-05
89,3236.99,1.06777,0.45528,0.76591,0.42455,0.50024,0.31203,0.16065,1.89053,2.29957,0.75903,4.47606e-05,4.47606e-05,4.47606e-05
90,3426.69,1.06401,0.45262,0.76517,0.4252,0.49794,0.31198,0.16075,1.89034,2.3025,0.75903,3.9264e-05,3.9264e-05,3.9264e-05
91,3611.9,0.95904,0.3969,0.75712,0.42596,0.49843,0.31219,0.16069,1.89091,2.30678,0.75901,3.4227e-05,3.4227e-05,3.4227e-05
92,3797.06,0.94913,0.39443,0.75652,0.42481,0.49943,0.31162,0.16038,1.89129,2.31705,0.75896,2.96546e-05,2.96546e-05,2.96546e-05
93,3981.82,0.94915,0.39344,0.75715,0.42336,0.49973,0.3111,0.16029,1.89133,2.32439,0.75893,2.55513e-05,2.55513e-05,2.55513e-05
94,4166.59,0.94672,0.39361,0.75643,0.42244,0.50069,0.31115,0.16018,1.89178,2.33184,0.7589,2.19212e-05,2.19212e-05,2.19212e-05
95,4351.47,0.94759,0.39362,0.75636,0.4211,0.50131,0.31086,0.15997,1.8917,2.33796,0.7589,1.87678e-05,1.87678e-05,1.87678e-05
96,4536,0.94765,0.39199,0.75647,0.42096,0.50048,0.31082,0.16005,1.89184,2.34321,0.75887,1.60943e-05,1.60943e-05,1.60943e-05
97,4720.79,0.94549,0.39131,0.75665,0.4209,0.50045,0.31025,0.16027,1.89172,2.34649,0.75888,1.39032e-05,1.39032e-05,1.39032e-05
98,4905.67,0.94329,0.39071,0.75584,0.42064,0.50134,0.31045,0.1605,1.8918,2.35019,0.75884,1.21968e-05,1.21968e-05,1.21968e-05
99,5090.06,0.94413,0.39096,0.75617,0.42018,0.50001,0.31016,0.16021,1.89161,2.35725,0.75884,1.09768e-05,1.09768e-05,1.09768e-05
100,5273.83,0.94394,0.39043,0.75703,0.42071,0.49932,0.30941,0.16015,1.89221,2.36094,0.75883,1.02443e-05,1.02443e-05,1.02443e-05
